Timestamp,MachineID,RepairID,RepairType,Component,RepairDescription,RepairDuration
2024-01-12,Machine_6,52,Type_2,Component_9,Type_2 performed on Component_9,16
2024-04-07,Machine_2,53,Type_1,Component_3,Type_1 performed on Component_3,38
2024-01-01,Machine_7,54,Type_3,Component_3,Type_3 performed on Component_3,15
2024-01-21,Machine_10,55,Type_5,Component_5,Type_5 performed on Component_5,33
2024-02-28,Machine_3,56,Type_1,Component_5,Type_1 performed on Component_5,29
2024-03-02,Machine_1,57,Type_2,Component_1,Type_2 performed on Component_1,26
2024-01-11,Machine_8,58,Type_3,Component_7,Type_3 performed on Component_7,26
2024-02-16,Machine_10,59,Type_2,Component_9,Type_2 performed on Component_9,12
2024-03-09,Machine_8,60,Type_5,Component_1,Type_5 performed on Component_1,38
2024-01-29,Machine_9,61,Type_2,Component_10,Type_2 performed on Component_10,36
2024-01-06,Machine_6,62,Type_3,Component_8,Type_3 performed on Component_8,7
2024-02-13,Machine_1,63,Type_5,Component_9,Type_5 performed on Component_9,24
2024-02-16,Machine_4,64,Type_5,Component_7,Type_5 performed on Component_7,31
2024-01-13,Machine_8,65,Type_2,Component_9,Type_2 performed on Component_9,5
2024-01-18,Machine_4,66,Type_2,Component_6,Type_2 performed on Component_6,12
2024-02-29,Machine_1,67,Type_1,Component_8,Type_1 performed on Component_8,26
2024-01-26,Machine_8,68,Type_4,Component_5,Type_4 performed on Component_5,26
2024-01-23,Machine_10,69,Type_3,Component_9,Type_3 performed on Component_9,32
2024-01-27,Machine_8,70,Type_5,Component_10,Type_5 performed on Component_10,33
2024-03-20,Machine_6,71,Type_1,Component_8,Type_1 performed on Component_8,28
2024-03-16,Machine_10,72,Type_4,Component_8,Type_4 performed on Component_8,1
2024-04-01,Machine_2,73,Type_2,Component_8,Type_2 performed on Component_8,42
2024-02-11,Machine_4,74,Type_2,Component_4,Type_2 performed on Component_4,9
2024-02-12,Machine_4,75,Type_3,Component_8,Type_3 performed on Component_8,24
2024-02-01,Machine_10,76,Type_4,Component_8,Type_4 performed on Component_8,32
2024-03-29,Machine_6,77,Type_5,Component_4,Type_5 performed on Component_4,1
2024-02-02,Machine_10,78,Type_5,Component_7,Type_5 performed on Component_7,44
2024-03-30,Machine_2,79,Type_3,Component_10,Type_3 performed on Component_10,20
2024-03-17,Machine_4,80,Type_3,Component_8,Type_3 performed on Component_8,28
2024-02-02,Machine_6,81,Type_2,Component_1,Type_2 performed on Component_1,37
2024-03-17,Machine_5,82,Type_4,Component_1,Type_4 performed on Component_1,10
2024-02-10,Machine_1,83,Type_4,Component_9,Type_4 performed on Component_9,5
2024-03-20,Machine_3,84,Type_4,Component_8,Type_4 performed on Component_8,26
2024-01-13,Machine_8,85,Type_5,Component_4,Type_5 performed on Component_4,32
2024-03-07,Machine_6,86,Type_4,Component_5,Type_4 performed on Component_5,39
2024-01-19,Machine_10,87,Type_2,Component_9,Type_2 performed on Component_9,27
2024-01-12,Machine_4,88,Type_3,Component_7,Type_3 performed on Component_7,28
2024-01-13,Machine_3,89,Type_1,Component_2,Type_1 performed on Component_2,27
2024-03-05,Machine_6,90,Type_1,Component_8,Type_1 performed on Component_8,4
2024-01-31,Machine_10,91,Type_1,Component_3,Type_1 performed on Component_3,33
2024-02-09,Machine_3,92,Type_5,Component_3,Type_5 performed on Component_3,16
2024-01-04,Machine_10,93,Type_2,Component_8,Type_2 performed on Component_8,28
2024-02-16,Machine_4,94,Type_5,Component_3,Type_5 performed on Component_3,23
2024-04-02,Machine_5,95,Type_3,Component_1,Type_3 performed on Component_1,3
2024-01-04,Machine_10,96,Type_3,Component_6,Type_3 performed on Component_6,8
2024-02-21,Machine_7,97,Type_5,Component_10,Type_5 performed on Component_10,5
2024-03-29,Machine_2,98,Type_3,Component_4,Type_3 performed on Component_4,10
2024-03-06,Machine_1,99,Type_1,Component_2,Type_1 performed on Component_2,42
2024-02-24,Machine_2,100,Type_3,Component_8,Type_3 performed on Component_8,32
2024-02-11,Machine_3,101,Type_4,Component_3,Type_4 performed on Component_3,21
2024-03-15,Machine_10,102,Type_2,Component_5,Type_2 performed on Component_5,16
2024-01-13,Machine_7,103,Type_3,Component_2,Type_3 performed on Component_2,6
2024-01-23,Machine_4,104,Type_1,Component_6,Type_1 performed on Component_6,25
2024-03-26,Machine_5,105,Type_4,Component_10,Type_4 performed on Component_10,9
2024-02-12,Machine_3,106,Type_2,Component_3,Type_2 performed on Component_3,6
2024-02-25,Machine_10,107,Type_2,Component_8,Type_2 performed on Component_8,20
2024-03-24,Machine_1,108,Type_4,Component_4,Type_4 performed on Component_4,35
2024-03-18,Machine_10,109,Type_5,Component_2,Type_5 performed on Component_2,4
2024-03-12,Machine_8,110,Type_4,Component_10,Type_4 performed on Component_10,7
2024-01-15,Machine_5,111,Type_3,Component_1,Type_3 performed on Component_1,22
2024-03-31,Machine_6,112,Type_1,Component_5,Type_1 performed on Component_5,43
2024-04-06,Machine_3,113,Type_4,Component_9,Type_4 performed on Component_9,47
2024-02-28,Machine_2,114,Type_1,Component_3,Type_1 performed on Component_3,42
2024-01-30,Machine_4,115,Type_4,Component_1,Type_4 performed on Component_1,20
2024-02-15,Machine_10,116,Type_5,Component_9,Type_5 performed on Component_9,41
2024-01-13,Machine_5,117,Type_2,Component_1,Type_2 performed on Component_1,5
2024-01-26,Machine_7,118,Type_2,Component_4,Type_2 performed on Component_4,35
2024-02-29,Machine_3,119,Type_3,Component_6,Type_3 performed on Component_6,41
2024-02-29,Machine_7,120,Type_5,Component_3,Type_5 performed on Component_3,6
2024-03-02,Machine_2,121,Type_2,Component_3,Type_2 performed on Component_3,26
2024-01-02,Machine_7,122,Type_1,Component_3,Type_1 performed on Component_3,12
2024-03-24,Machine_6,123,Type_5,Component_3,Type_5 performed on Component_3,17
2024-02-26,Machine_10,124,Type_4,Component_5,Type_4 performed on Component_5,18
2024-01-08,Machine_3,125,Type_2,Component_7,Type_2 performed on Component_7,45
2024-03-29,Machine_1,126,Type_1,Component_3,Type_1 performed on Component_3,2
2024-01-09,Machine_8,127,Type_4,Component_10,Type_4 performed on Component_10,47
2024-03-01,Machine_10,128,Type_2,Component_3,Type_2 performed on Component_3,15
2024-03-08,Machine_4,129,Type_1,Component_9,Type_1 performed on Component_9,44
2024-01-07,Machine_1,130,Type_5,Component_2,Type_5 performed on Component_2,26
2024-01-29,Machine_4,131,Type_5,Component_8,Type_5 performed on Component_8,47
2024-02-11,Machine_10,132,Type_3,Component_6,Type_3 performed on Component_6,32
2024-01-29,Machine_9,133,Type_1,Component_8,Type_1 performed on Component_8,38
2024-01-25,Machine_4,134,Type_3,Component_5,Type_3 performed on Component_5,24
2024-01-18,Machine_1,135,Type_4,Component_2,Type_4 performed on Component_2,29
2024-01-12,Machine_10,136,Type_3,Component_7,Type_3 performed on Component_7,34
2024-01-30,Machine_6,137,Type_3,Component_5,Type_3 performed on Component_5,44
2024-02-25,Machine_9,138,Type_2,Component_8,Type_2 performed on Component_8,34
2024-02-22,Machine_2,139,Type_3,Component_9,Type_3 performed on Component_9,3
2024-02-06,Machine_8,140,Type_3,Component_4,Type_3 performed on Component_4,40
2024-02-08,Machine_7,141,Type_2,Component_8,Type_2 performed on Component_8,5
2024-01-10,Machine_9,142,Type_5,Component_4,Type_5 performed on Component_4,31
2024-02-16,Machine_5,143,Type_3,Component_6,Type_3 performed on Component_6,10
2024-03-29,Machine_9,144,Type_2,Component_3,Type_2 performed on Component_3,43
2024-02-10,Machine_4,145,Type_5,Component_10,Type_5 performed on Component_10,19
2024-01-23,Machine_6,146,Type_2,Component_1,Type_2 performed on Component_1,31
2024-03-11,Machine_3,147,Type_3,Component_3,Type_3 performed on Component_3,27
2024-02-16,Machine_10,148,Type_3,Component_8,Type_3 performed on Component_8,9
2024-01-23,Machine_6,149,Type_5,Component_6,Type_5 performed on Component_6,23
2024-03-10,Machine_10,150,Type_1,Component_2,Type_1 performed on Component_2,18
2024-01-10,Machine_9,151,Type_3,Component_7,Type_3 performed on Component_7,35
2024-02-16,Machine_6,152,Type_5,Component_7,Type_5 performed on Component_7,27
2024-03-28,Machine_5,153,Type_4,Component_3,Type_4 performed on Component_3,22
2024-03-14,Machine_3,154,Type_5,Component_4,Type_5 performed on Component_4,15
2024-03-20,Machine_5,155,Type_5,Component_3,Type_5 performed on Component_3,46
2024-01-11,Machine_10,156,Type_1,Component_2,Type_1 performed on Component_2,25
2024-03-21,Machine_9,157,Type_1,Component_9,Type_1 performed on Component_9,42
2024-01-23,Machine_10,158,Type_2,Component_3,Type_2 performed on Component_3,22
2024-02-17,Machine_5,159,Type_3,Component_8,Type_3 performed on Component_8,8
2024-04-05,Machine_4,160,Type_3,Component_3,Type_3 performed on Component_3,5
2024-02-20,Machine_7,161,Type_2,Component_7,Type_2 performed on Component_7,34
2024-04-04,Machine_6,162,Type_1,Component_3,Type_1 performed on Component_3,31
2024-03-29,Machine_2,163,Type_4,Component_6,Type_4 performed on Component_6,39
2024-02-08,Machine_7,164,Type_3,Component_5,Type_3 performed on Component_5,47
2024-02-27,Machine_2,165,Type_3,Component_7,Type_3 performed on Component_7,36
2024-01-11,Machine_4,166,Type_5,Component_1,Type_5 performed on Component_1,37
2024-03-14,Machine_3,167,Type_3,Component_6,Type_3 performed on Component_6,8
2024-03-25,Machine_10,168,Type_5,Component_10,Type_5 performed on Component_10,21
2024-01-15,Machine_1,169,Type_3,Component_9,Type_3 performed on Component_9,30
2024-02-06,Machine_8,170,Type_3,Component_9,Type_3 performed on Component_9,43
2024-02-07,Machine_3,171,Type_5,Component_10,Type_5 performed on Component_10,46
2024-03-09,Machine_9,172,Type_5,Component_1,Type_5 performed on Component_1,12
2024-03-29,Machine_5,173,Type_5,Component_9,Type_5 performed on Component_9,29
2024-01-21,Machine_9,174,Type_2,Component_2,Type_2 performed on Component_2,10
2024-01-21,Machine_10,175,Type_5,Component_4,Type_5 performed on Component_4,21
2024-03-27,Machine_5,176,Type_1,Component_1,Type_1 performed on Component_1,12
2024-03-26,Machine_7,177,Type_3,Component_7,Type_3 performed on Component_7,9
2024-03-06,Machine_7,178,Type_3,Component_9,Type_3 performed on Component_9,44
2024-01-17,Machine_6,179,Type_5,Component_3,Type_5 performed on Component_3,42
2024-01-28,Machine_4,180,Type_3,Component_6,Type_3 performed on Component_6,5
2024-01-09,Machine_2,181,Type_4,Component_5,Type_4 performed on Component_5,9
2024-01-16,Machine_5,182,Type_3,Component_5,Type_3 performed on Component_5,35
2024-01-29,Machine_8,183,Type_3,Component_5,Type_3 performed on Component_5,19
2024-04-02,Machine_6,184,Type_5,Component_7,Type_5 performed on Component_7,38
2024-01-19,Machine_6,185,Type_3,Component_3,Type_3 performed on Component_3,13
2024-03-20,Machine_2,186,Type_1,Component_3,Type_1 performed on Component_3,28
2024-03-02,Machine_4,187,Type_3,Component_8,Type_3 performed on Component_8,2
2024-03-21,Machine_10,188,Type_5,Component_10,Type_5 performed on Component_10,25
2024-01-21,Machine_6,189,Type_2,Component_7,Type_2 performed on Component_7,31
2024-01-25,Machine_4,190,Type_3,Component_6,Type_3 performed on Component_6,40
2024-03-05,Machine_6,191,Type_4,Component_1,Type_4 performed on Component_1,21
2024-03-12,Machine_10,192,Type_5,Component_8,Type_5 performed on Component_8,13
2024-02-28,Machine_4,193,Type_1,Component_6,Type_1 performed on Component_6,25
2024-01-04,Machine_2,194,Type_4,Component_5,Type_4 performed on Component_5,43
2024-01-16,Machine_10,195,Type_3,Component_8,Type_3 performed on Component_8,46
2024-02-03,Machine_4,196,Type_4,Component_5,Type_4 performed on Component_5,45
2024-01-01,Machine_3,197,Type_1,Component_8,Type_1 performed on Component_8,18
2024-02-27,Machine_7,198,Type_5,Component_3,Type_5 performed on Component_3,36
2024-01-03,Machine_6,199,Type_3,Component_4,Type_3 performed on Component_4,17
2024-03-24,Machine_8,200,Type_4,Component_1,Type_4 performed on Component_1,43
2024-01-06,Machine_2,201,Type_5,Component_5,Type_5 performed on Component_5,44
2024-03-06,Machine_7,202,Type_1,Component_1,Type_1 performed on Component_1,21
2024-02-27,Machine_4,203,Type_4,Component_2,Type_4 performed on Component_2,40
2024-03-27,Machine_6,204,Type_5,Component_6,Type_5 performed on Component_6,25
2024-01-07,Machine_10,205,Type_1,Component_7,Type_1 performed on Component_7,9
2024-01-10,Machine_2,206,Type_4,Component_8,Type_4 performed on Component_8,20
2024-01-05,Machine_2,207,Type_1,Component_1,Type_1 performed on Component_1,17
2024-02-17,Machine_4,208,Type_5,Component_6,Type_5 performed on Component_6,23
2024-02-21,Machine_10,209,Type_1,Component_10,Type_1 performed on Component_10,28
2024-01-06,Machine_9,210,Type_3,Component_8,Type_3 performed on Component_8,46
2024-02-13,Machine_6,211,Type_1,Component_5,Type_1 performed on Component_5,23
2024-03-20,Machine_6,212,Type_5,Component_5,Type_5 performed on Component_5,16
2024-01-27,Machine_8,213,Type_2,Component_7,Type_2 performed on Component_7,8
2024-03-12,Machine_7,214,Type_5,Component_2,Type_5 performed on Component_2,46
2024-02-03,Machine_10,215,Type_5,Component_3,Type_5 performed on Component_3,29
2024-03-30,Machine_6,216,Type_3,Component_1,Type_3 performed on Component_1,8
2024-03-02,Machine_8,217,Type_5,Component_4,Type_5 performed on Component_4,44
2024-01-07,Machine_1,218,Type_1,Component_10,Type_1 performed on Component_10,1
2024-03-06,Machine_1,219,Type_2,Component_3,Type_2 performed on Component_3,43
2024-03-01,Machine_3,220,Type_5,Component_10,Type_5 performed on Component_10,37
2024-03-15,Machine_3,221,Type_2,Component_5,Type_2 performed on Component_5,12
2024-02-13,Machine_7,222,Type_2,Component_7,Type_2 performed on Component_7,36
2024-01-02,Machine_7,223,Type_2,Component_2,Type_2 performed on Component_2,47
2024-04-04,Machine_2,224,Type_5,Component_3,Type_5 performed on Component_3,27
2024-02-25,Machine_7,225,Type_1,Component_2,Type_1 performed on Component_2,48
2024-02-24,Machine_7,226,Type_1,Component_6,Type_1 performed on Component_6,13
2024-01-13,Machine_9,227,Type_1,Component_6,Type_1 performed on Component_6,32
2024-01-06,Machine_4,228,Type_3,Component_6,Type_3 performed on Component_6,11
2024-04-08,Machine_7,229,Type_1,Component_2,Type_1 performed on Component_2,11
2024-01-05,Machine_6,230,Type_1,Component_10,Type_1 performed on Component_10,18
2024-02-21,Machine_3,231,Type_3,Component_4,Type_3 performed on Component_4,34
2024-02-21,Machine_6,232,Type_1,Component_5,Type_1 performed on Component_5,4
2024-03-01,Machine_1,233,Type_3,Component_1,Type_3 performed on Component_1,20
2024-03-19,Machine_6,234,Type_2,Component_7,Type_2 performed on Component_7,6
2024-03-04,Machine_3,235,Type_4,Component_1,Type_4 performed on Component_1,41
2024-01-28,Machine_2,236,Type_5,Component_3,Type_5 performed on Component_3,26
2024-01-07,Machine_8,237,Type_5,Component_3,Type_5 performed on Component_3,36
2024-01-22,Machine_2,238,Type_1,Component_3,Type_1 performed on Component_3,7
2024-02-17,Machine_6,239,Type_5,Component_10,Type_5 performed on Component_10,23
2024-03-26,Machine_5,240,Type_2,Component_2,Type_2 performed on Component_2,9
2024-02-24,Machine_8,241,Type_1,Component_1,Type_1 performed on Component_1,8
2024-03-31,Machine_5,242,Type_3,Component_6,Type_3 performed on Component_6,17
2024-02-12,Machine_10,243,Type_4,Component_7,Type_4 performed on Component_7,11
2024-02-24,Machine_9,244,Type_2,Component_1,Type_2 performed on Component_1,38
2024-01-09,Machine_4,245,Type_4,Component_4,Type_4 performed on Component_4,26
2024-03-28,Machine_8,246,Type_2,Component_5,Type_2 performed on Component_5,8
2024-03-21,Machine_5,247,Type_3,Component_10,Type_3 performed on Component_10,32
2024-03-24,Machine_4,248,Type_3,Component_4,Type_3 performed on Component_4,45
2024-03-15,Machine_10,249,Type_5,Component_1,Type_5 performed on Component_1,43
2024-02-09,Machine_9,250,Type_4,Component_3,Type_4 performed on Component_3,8
2024-02-11,Machine_4,251,Type_3,Component_1,Type_3 performed on Component_1,36
2024-03-27,Machine_4,252,Type_2,Component_3,Type_2 performed on Component_3,16
2024-03-03,Machine_5,253,Type_1,Component_9,Type_1 performed on Component_9,3
2024-02-22,Machine_2,254,Type_5,Component_10,Type_5 performed on Component_10,23
2024-02-04,Machine_5,255,Type_2,Component_7,Type_2 performed on Component_7,31
2024-01-04,Machine_7,256,Type_2,Component_7,Type_2 performed on Component_7,6
2024-01-19,Machine_3,257,Type_1,Component_9,Type_1 performed on Component_9,3
2024-01-26,Machine_2,258,Type_2,Component_6,Type_2 performed on Component_6,19
2024-01-05,Machine_2,259,Type_3,Component_6,Type_3 performed on Component_6,34
2024-04-05,Machine_5,260,Type_4,Component_4,Type_4 performed on Component_4,34
2024-01-15,Machine_5,261,Type_2,Component_5,Type_2 performed on Component_5,6
2024-03-25,Machine_10,262,Type_2,Component_6,Type_2 performed on Component_6,19
2024-02-12,Machine_3,263,Type_5,Component_9,Type_5 performed on Component_9,41
2024-02-23,Machine_4,264,Type_2,Component_8,Type_2 performed on Component_8,27
2024-02-21,Machine_3,265,Type_2,Component_2,Type_2 performed on Component_2,31
2024-01-20,Machine_1,266,Type_3,Component_1,Type_3 performed on Component_1,12
2024-04-06,Machine_6,267,Type_4,Component_5,Type_4 performed on Component_5,45
2024-03-04,Machine_2,268,Type_2,Component_1,Type_2 performed on Component_1,28
2024-02-24,Machine_7,269,Type_2,Component_7,Type_2 performed on Component_7,12
2024-02-28,Machine_10,270,Type_3,Component_6,Type_3 performed on Component_6,6
2024-02-18,Machine_10,271,Type_4,Component_2,Type_4 performed on Component_2,40
2024-02-25,Machine_9,272,Type_4,Component_5,Type_4 performed on Component_5,28
2024-01-09,Machine_7,273,Type_4,Component_10,Type_4 performed on Component_10,14
2024-01-17,Machine_6,274,Type_1,Component_2,Type_1 performed on Component_2,27
2024-01-22,Machine_5,275,Type_1,Component_5,Type_1 performed on Component_5,6
2024-01-08,Machine_3,276,Type_5,Component_4,Type_5 performed on Component_4,23
2024-03-11,Machine_7,277,Type_5,Component_9,Type_5 performed on Component_9,8
2024-01-11,Machine_3,278,Type_4,Component_5,Type_4 performed on Component_5,33
2024-03-01,Machine_2,279,Type_4,Component_9,Type_4 performed on Component_9,18
2024-01-26,Machine_5,280,Type_5,Component_7,Type_5 performed on Component_7,19
2024-02-22,Machine_6,281,Type_1,Component_7,Type_1 performed on Component_7,37
2024-01-20,Machine_9,282,Type_1,Component_5,Type_1 performed on Component_5,38
2024-02-10,Machine_10,283,Type_5,Component_5,Type_5 performed on Component_5,20
2024-02-26,Machine_3,284,Type_4,Component_9,Type_4 performed on Component_9,27
2024-03-10,Machine_6,285,Type_4,Component_8,Type_4 performed on Component_8,9
2024-01-28,Machine_8,286,Type_2,Component_1,Type_2 performed on Component_1,13
2024-03-04,Machine_9,287,Type_2,Component_6,Type_2 performed on Component_6,25
2024-02-05,Machine_6,288,Type_3,Component_9,Type_3 performed on Component_9,27
2024-03-13,Machine_9,289,Type_3,Component_2,Type_3 performed on Component_2,23
2024-02-04,Machine_2,290,Type_2,Component_4,Type_2 performed on Component_4,30
2024-02-18,Machine_2,291,Type_4,Component_6,Type_4 performed on Component_6,8
2024-02-12,Machine_5,292,Type_1,Component_3,Type_1 performed on Component_3,48
2024-03-01,Machine_5,293,Type_5,Component_5,Type_5 performed on Component_5,31
2024-02-09,Machine_8,294,Type_1,Component_7,Type_1 performed on Component_7,19
2024-01-15,Machine_9,295,Type_2,Component_10,Type_2 performed on Component_10,4
2024-03-23,Machine_5,296,Type_2,Component_2,Type_2 performed on Component_2,13
2024-02-03,Machine_10,297,Type_3,Component_10,Type_3 performed on Component_10,21
2024-01-15,Machine_6,298,Type_2,Component_8,Type_2 performed on Component_8,3
2024-02-03,Machine_5,299,Type_5,Component_4,Type_5 performed on Component_4,9
2024-03-22,Machine_8,300,Type_3,Component_5,Type_3 performed on Component_5,37
2024-01-24,Machine_2,301,Type_4,Component_2,Type_4 performed on Component_2,7
2024-02-23,Machine_6,302,Type_2,Component_6,Type_2 performed on Component_6,24
2024-02-22,Machine_5,303,Type_1,Component_10,Type_1 performed on Component_10,37
2024-02-05,Machine_1,304,Type_2,Component_6,Type_2 performed on Component_6,41
2024-02-03,Machine_3,305,Type_3,Component_10,Type_3 performed on Component_10,15
2024-02-03,Machine_7,306,Type_4,Component_4,Type_4 performed on Component_4,26
2024-02-19,Machine_7,307,Type_1,Component_4,Type_1 performed on Component_4,48
2024-04-09,Machine_2,308,Type_5,Component_7,Type_5 performed on Component_7,18
2024-03-12,Machine_6,309,Type_1,Component_9,Type_1 performed on Component_9,32
2024-03-12,Machine_2,310,Type_1,Component_8,Type_1 performed on Component_8,26
2024-01-07,Machine_1,311,Type_1,Component_2,Type_1 performed on Component_2,41
2024-02-19,Machine_7,312,Type_1,Component_4,Type_1 performed on Component_4,26
2024-02-27,Machine_4,313,Type_4,Component_6,Type_4 performed on Component_6,17
2024-03-25,Machine_6,314,Type_4,Component_2,Type_4 performed on Component_2,31
2024-01-24,Machine_1,315,Type_2,Component_1,Type_2 performed on Component_1,1
2024-04-04,Machine_4,316,Type_3,Component_6,Type_3 performed on Component_6,39
2024-01-16,Machine_2,317,Type_4,Component_1,Type_4 performed on Component_1,48
2024-03-19,Machine_3,318,Type_1,Component_4,Type_1 performed on Component_4,38
2024-01-29,Machine_2,319,Type_5,Component_9,Type_5 performed on Component_9,9
2024-03-04,Machine_7,320,Type_3,Component_7,Type_3 performed on Component_7,8
2024-03-18,Machine_7,321,Type_5,Component_7,Type_5 performed on Component_7,34
2024-01-26,Machine_4,322,Type_1,Component_3,Type_1 performed on Component_3,34
2024-02-14,Machine_3,323,Type_2,Component_9,Type_2 performed on Component_9,48
2024-02-03,Machine_9,324,Type_4,Component_10,Type_4 performed on Component_10,23
2024-03-14,Machine_2,325,Type_5,Component_8,Type_5 performed on Component_8,17
2024-01-20,Machine_4,326,Type_4,Component_4,Type_4 performed on Component_4,23
2024-01-26,Machine_1,327,Type_1,Component_1,Type_1 performed on Component_1,36
2024-01-26,Machine_5,328,Type_4,Component_6,Type_4 performed on Component_6,11
2024-01-15,Machine_8,329,Type_2,Component_9,Type_2 performed on Component_9,42
2024-03-01,Machine_6,330,Type_2,Component_2,Type_2 performed on Component_2,1
2024-02-04,Machine_9,331,Type_2,Component_6,Type_2 performed on Component_6,48
2024-03-30,Machine_8,332,Type_2,Component_3,Type_2 performed on Component_3,35
2024-02-01,Machine_2,333,Type_4,Component_2,Type_4 performed on Component_2,5
2024-02-23,Machine_4,334,Type_3,Component_7,Type_3 performed on Component_7,37
2024-02-27,Machine_7,335,Type_4,Component_3,Type_4 performed on Component_3,40
2024-01-15,Machine_7,336,Type_3,Component_9,Type_3 performed on Component_9,43
2024-02-15,Machine_1,337,Type_5,Component_8,Type_5 performed on Component_8,35
2024-01-04,Machine_2,338,Type_3,Component_10,Type_3 performed on Component_10,17
2024-04-04,Machine_6,339,Type_1,Component_1,Type_1 performed on Component_1,15
2024-02-27,Machine_2,340,Type_3,Component_10,Type_3 performed on Component_10,33
2024-03-09,Machine_4,341,Type_5,Component_6,Type_5 performed on Component_6,7
2024-04-07,Machine_7,342,Type_1,Component_6,Type_1 performed on Component_6,29
2024-03-05,Machine_7,343,Type_4,Component_2,Type_4 performed on Component_2,48
2024-03-28,Machine_5,344,Type_3,Component_9,Type_3 performed on Component_9,16
2024-03-29,Machine_6,345,Type_1,Component_8,Type_1 performed on Component_8,41
2024-01-31,Machine_8,346,Type_4,Component_5,Type_4 performed on Component_5,27
2024-01-23,Machine_9,347,Type_5,Component_5,Type_5 performed on Component_5,19
2024-04-09,Machine_9,348,Type_2,Component_3,Type_2 performed on Component_3,42
